Quando un bambino non sa leggere;Biancardi - Milano;Psicologia
SIAMO SOLO AMICI;BIANCHINI LUCA;NARRATIVA
SAGAPO';BIASION RENZO;NARRATIVA
Razze e popoli della terra - vol. 1;Biasutti Renato;STORIA
Razze e popoli della terra - vol. 2;Biasutti Renato;STORIA
Razze e popoli della terra - vol. 3;Biasutti Renato;STORIA
Razze e popoli della terra - vol. 4;Biasutti Renato;STORIA
L'ACUSTICA PERFETTA;BIGNARDI DARIA;NARRATIVA ROSA
NON VI LASCERO' ORFANI;BIGNARDI DARIA;NARRATIVA
COLLEZIONISTA DI MORTE;BILLINGHAM MARK;THRILLER
IL PERSUASORE;BILLINGHAM MARK;THRILLER
LA REGOLA DEL SOSPETTO;BILLINGHAM MARK;THRILLER
SEGNI DI SANGUE;BILLINGHAM MARK;THRILLER
COME UN DOLCE BEN RIUSCITO;BINCHY MAEVE;NARRATIVA ROSA
IL LAGO DI CRISTALLO;BINCHY MAEVE;NARRATIVA ROSA
L'AMICA DEL CUORE;BINCHY MAEVE;NARRATIVA ROSA
RITORNO A TARA ROAD;BINCHY MAEVE;NARRATIVA
PARLA CON I MORTI;BINGHAM HARRY;THRILLER
CINQUE STRADE PER IL DELITTO;BINGHAM JOHN;GIALLO
MI CHIAMO MICHAEL SIBLEY;BINGHAM JOHN;GIALLO
SCIENZE BIOLOGICHE;BIOLOGIA I;ENCICLOPEDIA
SCIENZE BIOLOGICHE;BIOLOGIA II;ENCICLOPEDIA
HO SOGNATO LA CIOCCOLATA PER ANNI;BIRGER TRUDI;NARRATIVA
I LIBRI DI LUCA;BIRKEGAARD MIKKEL;NARRATIVA
NOSTRA SIGNORA DEL KGB;BISIGNANI LUIGI;NARRATIVA
PRIMA COMUNELLA POI COMUNISMO;BISIO CLAUDIO;NARRATIVA
ROBOSCUOLA;BLAKE JON;NARR. RAGAZZI
BALLA COI LUPI;BLAKE MICHAEL;NARRATIVA
LE PENTOLE DEL DIAVOLO;BLAKE NICHOLAS;GIALLO
I VENDICATORI ANGELICI;BLIXEN KAREN;NARRATIVA
LA MIA AFRICA  ;BLIXEN KAREN;NARRATIVA
LETTERE DALL'AFRICA;BLIXEN KAREN;NARRATIVA
OMBRE SULL'ERBA ;BLIXEN KAREN;NARRATIVA
GOTICO AMERICANO;BLOCH;NARRATIVA
L'ULTIMO GRIDO;BLOCK LAWRENCE;GIALLO
L'INFERNO;BOCCA GIORGIO;NARRATIVA
L'INFERNO PROFONDO SUD,MALE OSCURO;BOCCA GIORGIO;NARRATIVA
DECAMERON;BOCCACCIO;CLASSICI
DECAMERON;BOCCACCIO;CLASSICI
Il Decamerone;Boccaccio;CLASSICI
OPERE;BOCCACCIO;CLASSICI
Dei tesori nascosti;Bodini Giuseppe;STORIA
GIOVANNA D'ARCO;BOGLIOLO GIOVANNI;BIOGRAFIE
PEZZI D'UOMO SCELTI;BOILEAU-NARCEJAC;GIALLO
